Name,Address,Latitude,Longitude,Business Status,Primary Type,Discovery Tier,Discovery Score,Reasons,Matched Themes,Anchor Markets,Google Maps URL,Place ID
Octane Environmental LLC,"6388 W Veterans Memorial Hwy, Bridgeport, WV 26330, USA",39.2865146,-80.2271748,OPERATIONAL,establishment,possible-review,53,operational; related industrial/energy term; 1 strong matched theme(s); repeated across multiple query themes,oilfield services; gas compression processing measurement methane services; water hauling environmental disposal oil gas,Bridgeport|WV,https://www.google.com/maps/place/?q=place_id:ChIJEQqEUhxnSogRX-OVeFceOxs,ChIJEQqEUhxnSogRX-OVeFceOxs
"Quality tank Manufacturing Group, Inc.","2171 Hwy 98 E, Columbia, MS 39429, USA",31.2626765,-89.72838999999999,OPERATIONAL,establishment,possible-review,53,operational; related industrial/energy term; 1 strong matched theme(s); repeated across multiple query themes,gas compression processing measurement methane services; pump and supply artificial lift production equipment; roustabout welding fabrication facility services,Columbia|MS,https://www.google.com/maps/place/?q=place_id:ChIJeYgWPM1pnYgRwr4_6CufS0E,ChIJeYgWPM1pnYgRwr4_6CufS0E
Rhinehart oil,"640 14th St, Fort Lupton, CO 80621, USA",40.0941565,-104.8114348,OPERATIONAL,establishment,possible-review,53,operational; related industrial/energy term; 1 strong matched theme(s); repeated across multiple query themes,oilfield services; water hauling environmental disposal oil gas; hot shot trucking safety automation oil gas,Fort Lupton|CO,https://www.google.com/maps/place/?q=place_id:ChIJYcaEEE4RbIcRd3MWxewH7BM,ChIJYcaEEE4RbIcRd3MWxewH7BM
"Riverside Energy Michigan, LLC","1847 Calkins Dr, Gaylord, MI 49735, USA",45.0058332,-84.6899072,OPERATIONAL,establishment,possible-review,53,operational; related industrial/energy term; 1 strong matched theme(s); repeated across multiple query themes,gasfield natural gas well services; pipeline gathering integrity midstream construction; water hauling environmental disposal oil gas,Gaylord|MI,https://www.google.com/maps/place/?q=place_id:ChIJ8wj15PRPNU0Rx72RZCBctqg,ChIJ8wj15PRPNU0Rx72RZCBctqg
Rocky Mountain Natural Gas LLC,"600 12th St #300, Golden, CO 80401, USA",39.7565255,-105.2199546,OPERATIONAL,establishment,possible-review,53,operational; related industrial/energy term; 1 strong matched theme(s); repeated across multiple query themes,gasfield natural gas well services; gas compression processing measurement methane services; pipeline gathering integrity midstream construction,Golden|CO,https://www.google.com/maps/place/?q=place_id:ChIJoxtrSi2Fa4cRerZ-0JAuLck,ChIJoxtrSi2Fa4cRerZ-0JAuLck
Southwest Septic Tank Sales,"767 May Ave SW, Coeburn, VA 24230, USA",36.9315039,-82.47073,OPERATIONAL,establishment,possible-review,53,operational; related industrial/energy term; 1 strong matched theme(s); repeated across multiple query themes,pipeline gathering integrity midstream construction; water hauling environmental disposal oil gas; pump and supply artificial lift production equipment,Coeburn|VA,https://www.google.com/maps/place/?q=place_id:ChIJi9CGPSqxWogRRIwcPm6iyak,ChIJi9CGPSqxWogRRIwcPm6iyak
Texas Energy big lake,"3451-3575, E US Hwy 67, Big Lake, TX 76932, USA",31.17690649999999,-101.3883438,OPERATIONAL,establishment,possible-review,53,operational; related industrial/energy term; 1 strong matched theme(s); repeated across multiple query themes,oilfield services; gas compression processing measurement methane services; pipeline gathering integrity midstream construction,Big Lake|TX,https://www.google.com/maps/place/?q=place_id:ChIJ37wy3D7V-YYREQaPdtUSOPM,ChIJ37wy3D7V-YYREQaPdtUSOPM
Thompson Brothers Welding & Industrial Supply,"2319 W 8th St, Coffeyville, KS 67337, USA",37.0360732,-95.6514459,OPERATIONAL,establishment,possible-review,53,operational; related industrial/energy term; 1 strong matched theme(s); repeated across multiple query themes,oilfield supply pumps equipment rental; hot shot trucking safety automation oil gas; roustabout welding fabrication facility services,Coffeyville|KS,https://www.google.com/maps/place/?q=place_id:ChIJG3ejJ4KDt4cRSxk8U0oGLQc,ChIJG3ejJ4KDt4cRSxk8U0oGLQc
WhiteWater Midstream,"100 Congress Ave., Austin, TX 78701, USA",30.2639807,-97.7448532,OPERATIONAL,establishment,possible-review,53,operational; related industrial/energy term; 1 strong matched theme(s); repeated across multiple query themes,gasfield natural gas well services; pipeline gathering integrity midstream construction; water hauling environmental disposal oil gas,Austin|TX; Big Lake|TX; Gainesville|TX,https://www.google.com/maps/place/?q=place_id:ChIJ__8vxQm1RIYRnHluGnWerrw,ChIJ__8vxQm1RIYRnHluGnWerrw
A & B Pump & Supply Inc,"710 MS-528 W, Heidelberg, MS 39439, USA",31.8936252,-88.9901141,OPERATIONAL,establishment,possible-review,51,operational; related industrial/energy term; 2 strong matched theme(s),oilfield supply pumps equipment rental; pump and supply artificial lift production equipment,Columbia|MS,https://www.google.com/maps/place/?q=place_id:ChIJC-gXr3tEg4gRsCDxWsEbdYg,ChIJC-gXr3tEg4gRsCDxWsEbdYg
Ace Equipment & Supply Co,"9660 Dallas St, Henderson, CO 80640, USA",39.8719964,-104.8758572,OPERATIONAL,establishment,possible-review,51,operational; related industrial/energy term; 2 strong matched theme(s),pump and supply artificial lift production equipment; oilfield supply pumps equipment rental,Centennial|CO; Fort Lupton|CO; Golden|CO; Henderson|CO,https://www.google.com/maps/place/?q=place_id:ChIJM0gPwExwbIcRDYtkggHfYN0,ChIJM0gPwExwbIcRDYtkggHfYN0
Advanced Pump & Equipment,"81 Gold Miner Ln A, Belgrade, MT 59714, USA",45.7459176,-111.1665045,OPERATIONAL,establishment,possible-review,51,operational; related industrial/energy term; 2 strong matched theme(s),oilfield supply pumps equipment rental; pump and supply artificial lift production equipment,Bozeman|MT; Cut Bank|MT,https://www.google.com/maps/place/?q=place_id:ChIJjQ50RWtERVMRxhYs01V_8Y4,ChIJjQ50RWtERVMRxhYs01V_8Y4
"Advanced Tool & Supply, LLC","1041 Forum Dr, Broussard, LA 70518, USA",30.0771446,-91.92803190000001,OPERATIONAL,establishment,possible-review,51,operational; related industrial/energy term; 2 strong matched theme(s),pump and supply artificial lift production equipment; oilfield supply pumps equipment rental,Arnaudville|LA; Broussard|LA,https://www.google.com/maps/place/?q=place_id:ChIJh6yjLUJ8I4YRCtp_RMosaok,ChIJh6yjLUJ8I4YRCtp_RMosaok
Affordable Well & Pump Services,"McConnelsville, OH 43756, USA",39.6486822,-81.8531912,OPERATIONAL,establishment,possible-review,51,operational; related industrial/energy term; 2 strong matched theme(s),gasfield natural gas well services; well service field services production support,Cambridge|OH,https://www.google.com/maps/place/?q=place_id:ChIJV3d0cM4hSIgRi74A6euE0GA,ChIJV3d0cM4hSIgRi74A6euE0GA
Allegheny Industrial Supply,"3854 Corbin Branch Rd, Bridgeport, WV 26330, USA",39.3585929,-80.19882199999999,OPERATIONAL,establishment,possible-review,51,operational; related industrial/energy term; 2 strong matched theme(s),oilfield supply pumps equipment rental; pump and supply artificial lift production equipment,Bridgeport|WV; Fairmont|WV,https://www.google.com/maps/place/?q=place_id:ChIJn-k8Xm5-SogR1qM10u38eWo,ChIJn-k8Xm5-SogR1qM10u38eWo
American Producers Supply Co. Inc. - Glasgow,"129 Beaver Trail, Glasgow, KY 42141, USA",37.0310844,-85.926442,OPERATIONAL,establishment,possible-review,51,operational; related industrial/energy term; 2 strong matched theme(s),pump and supply artificial lift production equipment; oilfield supply pumps equipment rental,Edmonton|KY; Glasgow|KY,https://www.google.com/maps/place/?q=place_id:ChIJjZJLqhA9ZogRczaKwMRZk2Y,ChIJjZJLqhA9ZogRczaKwMRZk2Y
Apex Pump & Equipment,"5009 Mosson Rd, Fort Worth, TX 76119, USA",32.6755914,-97.2478029,OPERATIONAL,establishment,possible-review,51,operational; related industrial/energy term; 2 strong matched theme(s),oilfield supply pumps equipment rental; pump and supply artificial lift production equipment,Decatur|TX; Frisco|TX; Godley|TX,https://www.google.com/maps/place/?q=place_id:ChIJDRMzZ0ZlToYRgQrveZnEDc4,ChIJDRMzZ0ZlToYRgQrveZnEDc4
Appalachian Natural Gas Distribution Co.,"391 Clydesway Dr, Lebanon, VA 24266, USA",36.8969565,-82.11443589999999,OPERATIONAL,establishment,possible-review,51,operational; related industrial/energy term; 2 strong matched theme(s),gasfield natural gas well services; oilfield services,Bluefield|VA; Clintwood|VA; Coeburn|VA,https://www.google.com/maps/place/?q=place_id:ChIJ_____1sHUIgRRuNFthTkukc,ChIJ_____1sHUIgRRuNFthTkukc
